,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16,41.903228759765625,72.07499694824219,51.89899826049805,89.09785461425781,307.7799987792969,43.95500183105469,72.07499694824219,51.89899826049805,94.16999816894531,307.7799987792969,44.04750061035156,72.3499984741211,52.1619987487793,94.66000366210938,316.1000061035156,43.70750045776367,71.3740005493164,51.33700180053711,93.41999816894531,304.0,43.75749969482422,72.25,51.849998474121094,94.06999969482422,315.989990234375,86313600.0,56172000.0,24224000.0,20288100.0,20307900.0
2018-04-17,42.47999572753906,75.19149780273438,53.70800018310547,90.89553833007812,336.05999755859375,44.560001373291016,75.19149780273438,53.70800018310547,96.06999969482422,336.05999755859375,44.73500061035156,75.3594970703125,53.89400100708008,96.54000091552734,338.6199951171875,44.102500915527344,72.85099792480469,52.41299819946289,94.87999725341797,323.7699890136719,44.122501373291016,73.11499786376953,52.56850051879883,95.0,329.6600036621094,106421600.0,102288000.0,46406000.0,26771000.0,33866500.0
2018-04-18,42.3846549987793,76.39199829101562,53.604000091552734,91.24559783935547,334.5199890136719,44.459999084472656,76.39199829101562,53.604000091552734,96.44000244140625,334.5199890136719,44.70500183105469,76.69000244140625,53.871498107910156,96.72000122070312,338.82000732421875,44.220001220703125,75.20549774169922,53.311248779296875,95.5199966430664,331.1000061035156,44.45249938964844,75.73249816894531,53.871498107910156,96.22000122070312,336.29998779296875,83018000.0,104550000.0,26882000.0,21043300.0,11221100.0
2018-04-19,41.1834716796875,77.84549713134766,54.3849983215332,90.93338012695312,332.70001220703125,43.20000076293945,77.84549713134766,54.3849983215332,96.11000061035156,332.70001220703125,43.84749984741211,78.4260025024414,54.708248138427734,97.06999969482422,335.30999755859375,43.165000915527344,76.9530029296875,53.409000396728516,95.33999633789062,326.7699890136719,43.439998626708984,77.16100311279297,53.470001220703125,96.44000244140625,332.8800048828125,139235200.0,130474000.0,34954000.0,23552500.0,8438800.0
2018-04-20,39.496097564697266,76.37449645996094,53.64799880981445,89.8831558227539,327.7699890136719,41.43000030517578,76.37449645996094,53.64799880981445,95.0,327.7699890136719,42.80500030517578,78.05999755859375,54.61750030517578,96.11000061035156,336.510009765625,41.35749816894531,75.80449676513672,53.47850036621094,94.05000305175781,326.0,42.650001525878906,78.05999755859375,54.099998474121094,95.91000366210938,332.2200012207031,261964400.0,110832000.0,37794000.0,31154400.0,9158700.0
2018-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-23,39.3817024230957,75.89299774169922,53.372501373291016,90.21430969238281,318.69000244140625,41.310001373291016,75.89299774169922,53.372501373291016,95.3499984741211,318.69000244140625,41.72999954223633,77.4000015258789,54.13600158691406,96.29000091552734,331.2200012207031,41.022499084472656,75.17050170898438,53.03499984741211,94.62999725341797,317.0799865722656,41.70750045776367,77.33450317382812,53.893001556396484,95.73999786376953,329.1499938964844,146062000.0,89308000.0,46826000.0,22331800.0,8968000.0
2018-04-24,38.83353805541992,73.00450134277344,50.999000549316406,88.10443115234375,307.0199890136719,40.73500061035156,73.00450134277344,50.999000549316406,93.12000274658203,307.0199890136719,41.58250045776367,76.9749984741211,52.849998474121094,96.47000122070312,320.25,40.30500030517578,72.42250061035156,50.52949905395508,92.41000366210938,302.30999755859375,41.41749954223633,76.79000091552734,52.599998474121094,96.23999786376953,319.2200012207031,134768000.0,149894000.0,95206000.0,34524800.0,13893200.0
2018-04-25,39.00274658203125,73.00849914550781,51.058998107910156,87.33805084228516,305.760009765625,40.912498474121094,73.00849914550781,51.058998107910156,92.30999755859375,305.760009765625,41.35499954223633,73.49949645996094,51.6245002746582,93.30000305175781,309.9800109863281,40.602500915527344,70.7509994506836,50.765499114990234,90.27999877929688,292.6199951171875,40.654998779296875,72.9000015258789,51.2760009765625,93.30000305175781,306.3699951171875,113528400.0,131746000.0,47822000.0,33729300.0,14919700.0
